vertice,average_time_execution
4.0,0.000014274460928780692496706423988417355985802714712917804718017578125
5.0,0
6.0,0.00001428808484758649601973311271674305089618428610265254974365234375
7.0,0
8.0,0.000014298302786690847391453708381536813476486713625490665435791015625
9.0,0.000014294896806989396934213509826605559283052571117877960205078125
10.0,0.000014281272888183593411186821098279864372670999728143215179443359375
11.0,0
12.0,0.00001426764896937778988816013236995416946228942833840847015380859375
13.0,0.000014291490827287946476973311271674305089618428610265254974365234375
14.0,0.00001428808484758649601973311271674305089618428610265254974365234375
15.0,0
16.0,0.000014264242989676339430919933815022915268855285830795764923095703125
17.0,0.00001428808484758649601973311271674305089618428610265254974365234375
18.0,0.000014271054949079240345400330924885423655723570846021175384521484375
19.0,0
20.0,0
21.0,0.000014274460928780692496706423988417355985802714712917804718017578125
22.0,0
23.0,0
24.0,0
25.0,0.00001428467886788504386842701965321111856610514223575592041015625
26.0,0
27.0,0.00001368863242013113761842701965321111856610514223575592041015625
28.0,0.000014281272888183593411186821098279864372670999728143215179443359375
29.0,0
30.0,0.000014291490827287946476973311271674305089618428610265254974365234375
31.0,0
32.0,0
33.0,0
34.0,0
35.0,0
36.0,0
37.0,0.000014281272888183593411186821098279864372670999728143215179443359375
38.0,0
39.0,0.000014298302786690847391453708381536813476486713625490665435791015625
40.0,0.00001428808484758649601973311271674305089618428610265254974365234375
41.0,0
42.0,0
43.0,0.000014311926705496652608546291618463186523513286374509334564208984375
44.0,0
45.0,0
46.0,0.000014281272888183593411186821098279864372670999728143215179443359375
47.0,0
48.0,0
49.0,0.000014291490827287946476973311271674305089618428610265254974365234375
50.0,0
51.0,0.00001427786690848214295394662254334861017923685722053050994873046875
52.0,0.00001428467886788504386842701965321111856610514223575592041015625
53.0,0
54.0,0
55.0,0.00001428467886788504386842701965321111856610514223575592041015625
56.0,0
57.0,0
58.0,0.00001428808484758649601973311271674305089618428610265254974365234375
59.0,0
60.0,0
61.0,0.00001427786690848214295394662254334861017923685722053050994873046875
62.0,0.00001426764896937778988816013236995416946228942833840847015380859375
63.0,0
64.0,0.00001428467886788504386842701965321111856610514223575592041015625
65.0,0
66.0,0
67.0,0
68.0,0
69.0,0
70.0,0.00002855913979666573805919933815022915268855285830795764923095703125
71.0,0
72.0,0
73.0,0
74.0,0
75.0,0.00001428467886788504386842701965321111856610514223575592041015625
76.0,0
77.0,0
78.0,0
79.0,0
80.0,0
81.0,0.000014281272888183593411186821098279864372670999728143215179443359375
82.0,0
83.0,0
84.0,0.000014274460928780692496706423988417355985802714712917804718017578125
85.0,0
86.0,0.00001428808484758649601973311271674305089618428610265254974365234375
87.0,0
88.0,0
89.0,0.000014274460928780692496706423988417355985802714712917804718017578125
90.0,0.00001428467886788504386842701965321111856610514223575592041015625
91.0,0
92.0,0.00001430511474609375
93.0,0.000014294896806989396934213509826605559283052571117877960205078125
94.0,0.0000428506306239536828421067549133027796415262855589389801025390625
95.0,0
96.0,0.00001428808484758649601973311271674305089618428610265254974365234375
97.0,0.000014294896806989396934213509826605559283052571117877960205078125
98.0,0.00001428808484758649601973311271674305089618428610265254974365234375
99.0,0
100.0,0
101.0,0
102.0,0
103.0,0.00001427786690848214295394662254334861017923685722053050994873046875
104.0,0
105.0,0
106.0,0.00001428467886788504386842701965321111856610514223575592041015625
107.0,0.000014291490827287946476973311271674305089618428610265254974365234375
108.0,0.00001428467886788504386842701965321111856610514223575592041015625
109.0,0
110.0,0.00001428467886788504386842701965321111856610514223575592041015625
111.0,0
112.0,0
113.0,0.000014274460928780692496706423988417355985802714712917804718017578125
114.0,0
115.0,0.000014281272888183593411186821098279864372670999728143215179443359375
116.0,0
117.0,0
118.0,0.000014294896806989396934213509826605559283052571117877960205078125
119.0,0
120.0,0.0000285659517560686389736797352600916610754211433231830596923828125
121.0,0
122.0,0
123.0,0.000014308520725795200457240198554931254193434142507612705230712890625
124.0,0
125.0,0.000014281272888183593411186821098279864372670999728143215179443359375
126.0,0
127.0,0
128.0,0
